hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
0,1,0,0,1,9.84,14.395,81,0,16
1,1,0,0,1,9.02,13.635,80,0,40
2,1,0,0,1,9.02,13.635,80,0,32
3,1,0,0,1,9.84,14.395,75,0,13
4,1,0,0,1,9.84,14.395,75,0,1
5,1,0,0,2,9.84,12.88,75,6.0032,1
6,1,0,0,1,9.02,13.635,80,0,2
7,1,0,0,1,8.2,12.88,86,0,3
8,1,0,0,1,9.84,14.395,75,0,8
9,1,0,0,1,13.12,17.425,76,0,14
10,1,0,0,1,15.58,19.695,76,16.9979,36
11,1,0,0,1,14.76,16.665,81,19.0012,56
12,1,0,0,1,17.22,21.21,77,19.0012,84
13,1,0,0,2,18.86,22.725,72,19.9995,94
14,1,0,0,2,18.86,22.725,72,19.0012,106
15,1,0,0,2,18.04,21.97,77,19.9995,110
16,1,0,0,2,17.22,21.21,82,19.9995,93
17,1,0,0,2,18.04,21.97,82,19.0012,67
18,1,0,0,3,17.22,21.21,88,16.9979,35
19,1,0,0,3,17.22,21.21,88,16.9979,37
20,1,0,0,2,16.4,20.455,87,16.9979,36
21,1,0,0,2,16.4,20.455,87,12.998,34
22,1,0,0,2,16.4,20.455,94,15.0013,28
23,1,0,0,2,18.86,22.725,88,19.9995,39
0,1,0,0,2,18.86,22.725,88,19.9995,17
1,1,0,0,2,18.04,21.97,94,16.9979,17
2,1,0,0,2,17.22,21.21,100,19.0012,9
3,1,0,0,2,18.86,22.725,94,12.998,6
4,1,0,0,2,18.86,22.725,94,12.998,3
6,1,0,0,3,17.22,21.21,77,19.9995,2
7,1,0,0,2,16.4,20.455,76,12.998,1
8,1,0,0,3,16.4,20.455,71,15.0013,8
9,1,0,0,2,15.58,19.695,76,15.0013,20
10,1,0,0,2,14.76,17.425,81,15.0013,53
11,1,0,0,2,14.76,16.665,71,16.9979,70
12,1,0,0,2,14.76,16.665,66,19.9995,93
13,1,0,0,2,14.76,17.425,66,8.9981,75
14,1,0,0,3,14.76,17.425,76,12.998,59
15,1,0,0,3,13.94,16.665,81,11.0014,74
16,1,0,0,3,13.94,16.665,71,11.0014,76
17,1,0,0,1,13.94,16.665,57,12.998,65
18,1,0,0,2,14.76,16.665,46,22.0028,53
19,1,0,0,1,13.12,14.395,42,30.0026,30
20,1,0,0,1,12.3,13.635,39,23.9994,22
21,1,0,0,1,10.66,11.365,44,22.0028,31
22,1,0,0,1,9.84,10.605,44,19.9995,9
23,1,0,0,1,9.02,11.365,47,11.0014,8
0,1,0,1,1,9.02,9.85,44,23.9994,5
1,1,0,1,1,8.2,8.335,44,27.9993,2
4,1,0,1,1,6.56,6.82,47,26.0027,1
5,1,0,1,1,6.56,6.82,47,19.0012,3
6,1,0,1,1,5.74,5.305,50,26.0027,30
7,1,0,1,1,5.74,6.82,50,12.998,64
8,1,0,1,1,5.74,6.06,50,19.0012,154
9,1,0,1,1,6.56,6.82,43,26.0027,88
10,1,0,1,1,7.38,8.335,43,16.9979,44
11,1,0,1,1,8.2,9.09,40,22.0028,51
12,1,0,1,1,9.02,10.605,35,19.9995,61
13,1,0,1,1,9.84,10.605,35,19.0012,61
14,1,0,1,1,10.66,12.12,30,19.0012,77
15,1,0,1,1,10.66,12.12,30,16.9979,72
16,1,0,1,1,10.66,12.12,30,16.9979,76
17,1,0,1,1,9.84,11.365,30,15.0013,157
18,1,0,1,1,9.84,12.88,32,7.0015,157
19,1,0,1,1,8.2,12.88,47,0,110
20,1,0,1,1,8.2,11.365,47,7.0015,52
21,1,0,1,1,7.38,9.85,64,8.9981,52
22,1,0,1,1,5.74,7.575,69,8.9981,20
23,1,0,1,1,7.38,10.605,55,7.0015,12
0,1,0,1,1,6.56,9.09,55,7.0015,5
1,1,0,1,1,6.56,9.09,59,7.0015,2
2,1,0,1,1,5.74,7.575,63,8.9981,1
4,1,0,1,1,5.74,9.09,63,6.0032,2
5,1,0,1,1,4.92,7.575,68,7.0015,4
6,1,0,1,1,4.92,7.575,74,7.0015,36
7,1,0,1,1,4.92,7.575,74,8.9981,94
8,1,0,1,1,5.74,7.575,69,11.0014,179
9,1,0,1,1,6.56,7.575,64,15.0013,100
10,1,0,1,2,6.56,6.82,69,22.0028,42
11,1,0,1,1,9.02,10.605,51,19.9995,57
12,1,0,1,1,9.02,11.365,51,11.0014,78
13,1,0,1,1,9.84,11.365,56,12.998,97
14,1,0,1,1,10.66,12.88,52,15.0013,63
15,1,0,1,1,11.48,13.635,52,16.9979,65
16,1,0,1,1,12.3,14.395,49,16.9979,83
17,1,0,1,1,11.48,13.635,48,15.0013,212
18,1,0,1,1,10.66,12.88,48,12.998,182
19,1,0,1,1,9.84,12.88,48,7.0015,112
20,1,0,1,1,9.84,12.88,48,7.0015,54
21,1,0,1,1,9.02,13.635,64,0,48
22,1,0,1,1,9.02,12.88,64,6.0032,35
23,1,0,1,1,8.2,11.365,69,6.0032,11
0,1,0,1,1,8.2,12.88,64,0,6
1,1,0,1,1,6.56,9.85,74,6.0032,6
2,1,0,1,1,6.56,9.85,74,6.0032,2
4,1,0,1,1,9.84,11.365,48,15.0013,2
5,1,0,1,1,9.02,11.365,47,11.0014,3
6,1,0,1,1,8.2,9.85,47,15.0013,33
7,1,0,1,1,7.38,9.09,43,12.998,88
8,1,0,1,1,8.2,9.09,40,19.9995,195
9,1,0,1,1,9.02,9.85,37,22.0028,115
10,1,0,1,1,9.02,9.85,37,22.0028,57
11,1,0,1,1,10.66,11.365,33,22.0028,46
12,1,0,1,1,10.66,11.365,33,22.0028,79
13,1,0,1,1,11.48,12.88,30,19.9995,71
14,1,0,1,1,12.3,14.395,28,12.998,62
15,1,0,1,1,12.3,14.395,28,12.998,62
16,1,0,1,1,12.3,15.91,28,6.0032,89
17,1,0,1,1,9.84,11.365,38,12.998,190
18,1,0,1,1,9.84,12.12,38,8.9981,169
19,1,0,1,1,9.84,12.88,38,7.0015,132
20,1,0,1,1,9.02,11.365,47,11.0014,89
21,1,0,1,1,8.2,9.85,51,12.998,43
22,1,0,1,1,7.38,9.85,55,8.9981,42
23,1,0,1,1,8.2,12.88,47,0,19
0,1,0,1,1,7.38,12.12,55,0,11
1,1,0,1,1,6.56,11.365,64,0,4
2,1,0,1,1,6.56,11.365,64,0,2
4,1,0,1,2,6.56,9.85,64,6.0032,1
5,1,0,1,2,5.74,9.09,69,6.0032,4
6,1,0,1,2,5.74,8.335,63,7.0015,36
7,1,0,1,2,6.56,11.365,59,0,95
8,1,0,1,1,6.56,11.365,59,0,219
9,1,0,1,2,7.38,12.12,51,0,122
10,1,0,1,1,8.2,12.88,47,0,45
11,1,0,1,1,9.02,12.88,44,6.0032,59
12,1,0,1,1,10.66,14.395,35,0,84
13,1,0,1,1,10.66,13.635,35,7.0015,67
14,1,0,1,1,11.48,13.635,36,11.0014,70
15,1,0,1,1,11.48,13.635,36,0,62
16,1,0,1,1,10.66,12.88,38,11.0014,86
17,1,0,1,1,9.02,11.365,51,11.0014,172
18,1,0,1,1,9.02,11.365,51,8.9981,163
19,1,0,1,1,9.02,12.88,55,6.0032,112
20,1,0,1,1,8.2,10.605,51,11.0014,69
21,1,0,1,2,9.02,10.605,55,15.0013,48
22,1,0,1,2,9.02,10.605,51,19.0012,52
23,1,0,1,2,8.2,9.85,59,12.998,23
0,1,0,1,2,8.2,9.85,64,12.998,17
1,1,0,1,2,8.2,9.85,69,15.0013,7
2,1,0,1,2,8.2,9.85,69,15.0013,1
4,1,0,1,2,8.2,10.605,69,8.9981,1
5,1,0,1,3,9.02,13.635,55,0,5
6,1,0,1,2,8.2,12.88,69,0,34
7,1,0,1,1,8.2,10.605,69,8.9981,84
8,1,0,1,1,8.2,9.85,51,16.9979,210
9,1,0,1,1,8.2,9.09,47,19.9995,134
10,1,0,1,1,9.02,9.85,37,22.0028,63
11,1,0,1,2,8.2,9.85,40,15.0013,67
12,1,0,1,2,8.2,9.85,37,16.9979,59
13,1,0,1,2,8.2,9.09,37,19.0012,73
14,1,0,1,2,8.2,9.85,40,16.9979,50
15,1,0,1,2,8.2,10.605,37,11.0014,72
